0,1,2
4,fukujyuso,幸せを招く
4,fukujyuso,永久の幸福
4,fukujyuso,悲しき思い出
5,snowdrop,希望
5,snowdrop,慰め
6,roubai,ゆかしさ
6,roubai,慈しみ
6,roubai,先導
6,roubai,先見
7,take,節度
7,take,節操のある
8,matsu,不老長寿
8,matsu,哀れみ
8,matsu,同情
9,ume,高潔
9,ume,忠実
9,ume,忍耐
10,crocus,青春の喜び
10,crocus,切望
11,misumisou,自信
11,misumisou,はにかみ屋
12,mansaku,呪文
12,mansaku,魔力
12,mansaku,霊感
12,mansaku,ひらめき
13,seri,清廉で高潔
13,seri,貧しくても高潔
14,benjamin,融通のきく仲間
14,benjamin,信頼
15,sumire,謙虚
15,sumire,誠実
15,sumire,小さな幸せ
16,mokuren,自然への愛
16,mokuren,崇高
16,mokuren,持続性
17,northpole,誠実
17,northpole,冬の足音
17,northpole,高潔
18,hakobe,ランデブー
18,hakobe,愛らしい
19,freesia,あどけなさ
19,freesia,純潔
19,freesia,親愛の情
20,stock,永遠の美
20,stock,愛情の絆
20,stock,求愛
21,sweetalyssum,優美
21,sweetalyssum,美しさに優る価値
22,cattleya,優美な貴婦人
22,cattleya,成熟した大人の魅力
22,cattleya,魔力
22,cattleya,魅惑的
23,cyclamen,遠慮
23,cyclamen,気後れ
23,cyclamen,内気
23,cyclamen,はにかみ
24,cymbidium,飾らない心
24,cymbidium,素朴
24,cymbidium,高貴な美人
24,cymbidium,華やかな恋
25,oncidium,可憐
25,oncidium,一緒に踊って
26,dendrobium,わがままな美人
27,kingyosou,おしゃべり
27,kingyosou,でしゃばり
27,kingyosou,おせっかい
27,kingyosou,推測ではやはりNO
28,kochouran,幸福が飛んでくる
28,kochouran,純粋な愛
28,kochouran,清純
29,marguerit,恋占い
29,marguerit,真実の愛
29,marguerit,信頼
30,nazuna,あなたに私のすべてを捧げます
31,primula,青春のはじまりと悲しみ
31,primula,青春の恋
32,sanshuyu,持続
32,sanshuyu,耐久
32,sanshuyu,気丈な愛
33,yukiyanagi,愛らしさ
33,yukiyanagi,気まま
33,yukiyanagi,殊勝
34,shunran,控えめな美
35,kinsenka,別れの悲しみ
35,kinsenka,悲嘆
35,kinsenka,寂しさ
35,kinsenka,失望
36,ranunculus,とても魅力的
36,ranunculus,晴れやかな魅力
36,ranunculus,光輝を放つ
37,ivy,永遠の愛
37,ivy,友情
37,ivy,不滅
37,ivy,結婚
37,ivy,誠実
38,anthurium,煩悩
38,anthurium,恋にもだえる心
39,anemone,はかない恋
39,anemone,恋の苦しみ
39,anemone,見捨てられた
39,anemone,見放された
40,guzmania,理想の夫婦
40,guzmania,情熱
41,oubai,控えめな美
