0,date,name_japanese,name_english,sub_category_id
0,"0101,0103,0104,0112,0226,0406",フクジュソウ,fukujyuso,",4,"
1,"0101,0107,0116,0202,0226",スノードロップ,snowdrop,
2,"0102,0121",ロウバイ,roubai,
3,0102,タケ,take,
4,"0103,0119,1214",マツ,matsu,
5,"0103,0201,0207,1024",ウメ,ume,
6,"0103,0105,0121,0131,0224,0407",クロッカス,crocus,
7,"0105,0111,0228",ミスミソウ,misumisou,
8,"0106,0108,0131,0212,0321",マンサク,mansaku,
9,"0107,0111",セリ,seri,
10,"0107,0607",ベンジャミン,benjamin,",3,9,"
11,"0108,0109,0221",スミレ,sumire,
12,"0108,0219,0507,0704",モクレン,mokuren,
13,"0109,1224",ノースポール,northpole,
14,"0109,0125",ハコベ,hakobe,
15,"0110,0124,0211,0820,1217",フリージア,freesia,",1,4,6,11,"
16,"0110,0209,0302,0716",ストック,stock,",7,"
17,"0112,0314,0323",スイートアリッサム,sweetalyssum,
18,"0113,1014,1124,1223",カトレア,cattleya,",1,"
19,"0114,1207",シクラメン,cyclamen,",7,"
20,"0114,0117,1107,1218",シンビジウム,cymbidium,",1,"
21,"0115,1128",オンシジューム,oncidium,",4,"
22,"0116,1113",デンドロビウム,dendrobium,
23,"0116,0415,0702,0710",キンギョソウ,kingyosou,
24,0117,コチョウラン,kochouran,",1,2,3,5,6,7,8,15,16,18,20,"
25,"0117,0201,0401,0903,1122",マーガレット,marguerit,
26,0117,ナズナ,nazuna,
27,"0118,0125,0219",プリムラ,primula,
28,"0118,0221,0317",サンシュユ,sanshuyu,
29,"0119,0121,0311",ユキヤナギ,yukiyanagi,
30,"0119,0326",シュンラン,shunran,
31,"0120,0208,0209",キンセンカ,kinsenka,
32,"0120,0129,0225,0302,0525",ラナンキュラス,ranunculus,",6,10,11,13,"
33,0121,アイビー,ivy,",7,"
34,"0122,0317,0808,0825,1201",アンスリウム,anthurium,",14,"
35,"0122,0312,0313,0406",アネモネ,anemone,
36,0122,グズマニア,guzmania,
37,"0122,0220,0306",オウバイ,oubai,
38,"0123,0128,0217,0416,1219",スノーフレーク,snowflake,
39,"0125,0517,0522,0711",フクシア,fuchsia,
